PUSTAK,author,DATE,books-eng,author-eng
दिव्य जीवन,स्वेट मार्डेन,1948,Divya Jeevan,Swet Marden
ब्रह्मयोग विद्या,ब्रज मोहन लाल वर्मा,1917,Brahmayog Vidya,Braj Mohan Lal Verma
सूर्य के दिन व्यायाम,सातवेलकर,1924,Surya ke Din Vyayam,Satvelkar
प्राणायम,योगी राम चारक,----,Pranayam,Yogi Ram Charak
मन को वश में करने के उपाय,------------,1983,Man ko Vash Mein Karne ke Upay,------------
वैदिक प्राण विधा,सातवलेकर,1921,Vaidik Pran Vidha,Satvalekar
मन और उसका निग्रह,शिवानद सरस्वती,1945,Man aur Uska Nigrah,Shivanad Saraswati
स्वर्ग की सड़क,महावीर प्रसाद गहमरी,1916,Swarg ki Sadak,Mahavir Prasad Gahmari
शुक्र नीति,मच्छुक्राचार्य,1982,Shukra Niti,Machhuchracyarya
सदुपदेश संग्रह,देवी प्रसाद मुसिंफ,1982,Sadupdesh Sangrah,Devi Prasad Musinf
नीति दर्शन भाग 2,राधा मोहन गोकुलजी,1970,Niti Darshan Bhag 2,Radha Mohan Gokulji
नीति दर्शन भाग 2,राधा मोहन गोकुलजी,1970,Niti Darshan Bhag 2,Radha Mohan Gokulji
हितोपदेश,रामेश्वर दत्त,----,Hitopadesh,Rameshwar Datt
सदाचार और नीति,लक्ष्मीधर वाजपेयी,1983,Sadachar aur Niti,Lakshmidhar Vajpeyi
सदाचार और नीति,लक्ष्मीधर वाजपेयी,1983,Sadachar aur Niti,Lakshmidhar Vajpeyi
सदाचार सोपान,रामवृक्ष राय शर्मा,----,Sadachar Sopan,Ramvriksh Rai Sharma
जीवन के महत्वपूर्ण प्रश्नों पर प्रकाश,जेम्स एलेन,1974,Jeevan ke Mahatvapurn Prashnon Par Prakash,James Allen
हमारे अधिकार और कर्तव्य,कृष्ण चंद्र विद्यालंकार,1946,Hamare Adhikar aur Kartavya,Krishna Chandra Vidyalankar
मैत्री धर्म,गुलाब राय,----,Maitri Dharma,Gulab Rai
पिता के उपदेश,दयाचन्द गोयलीय,1917,Pita ke Updesh,Dayachand Goilya
जीवन व्यवहार,ठाकुर लाल सिंह,1916,Jeevan Vyavahar,Thakur Lal Singh
नीति रत्नमाला,चन्द्रशेखर शर्मा,1976,Niti Ratnamala,Chandrashekhar Sharma
अपना सुधार,जान स्टुअर्ट,1989,Apna Sudhar,Jan Stuart
स्वर्ग का खजाना,आमृत लाल,1986,Swarg ka Khazana,Amrit Lal
आर्थिक सफलता,एडवर्ड विल्स,1917,Aarthik Safalta,Edward Wills
सर्वोदय,महात्मा गोंधी,1919,Sarvodaya,Mahatma Gandhi
सफलता और उसकी साधना,रामचन्द्र वर्मा,1915,Safalta aur Uski Sadhana,Ramchandra Verma
सुखमार्ग,महेन्द्रलाल गर्ग,1913,Sukhmarg,Mahendralal Garg
अंग्रेजी सभ्यता,सूर्यनारायण सिंह,1903,Angreji Sabhyata,Suryanarayan Singh
धम्मपद,गंगा प्रसाद उपाध्याय,1932,Dhammapad,Ganga Prasad Upadhyay
धम्मपद,गंगा प्रसाद उपाध्याय,1932,Dhammapad,Ganga Prasad Upadhyay
बुद्धगीता,सत्यदेव परिब्राजक,----,Buddhagita,Satyadev Paribrajak
मज्जिम निकाय,राहुल सांकृत्यायन,1933,Majjhim Nikay,Rahul Sankrityayan
विनय पिटक,राहुल सांकृत्यायन,1935,Vinay Pitak,Rahul Sankrityayan
धम्मपद,राहुल सांकृत्यायन,1919,Dhammapad,Rahul Sankrityayan
जातक कथा माला-1,रामचन्द्र वर्मा,1981,Jatak Katha Mala-1,Ramchandra Verma
जातक कथा माला-1,रामचन्द्र वर्मा,1981,Jatak Katha Mala-1,Ramchandra Verma
बुद्ध और बौध धर्म,चतुरसेन शास्त्री,1940,Buddh aur Baudh Dharma,Chatursen Shastri
बुद्ध और बौध धर्म,चतुरसेन शास्त्री,1940,Buddh aur Baudh Dharma,Chatursen Shastri
धम्मपद,रामचन्द्र सर्वटे,1919,Dhammapad,Ramchandra Sarvate
श्रीचतुर्विशतिजिन पूजा विधान,कवि रामचन्द्र,2454,Shri Chaturvishatijin Pooja Vidhan,Kavi Ramchandra
भक्तामर-कथा,रायमल्ल,1917,Bhaktamar-Katha,Raymall
शान्तिनाथ चरित्र,------------,2439,Shantinath Charitra,------------
जिनवाणी संग्रह,सतीशचन्द्र जैन,2454,Jinvani Sangrah,Satishchandra Jain
दादा श्री जिनकुशल सूरि,नाहटा,1996,Dada Shri Jinkushal Suri,Nahata
शांतिनाथ चरित्र,काशीनाथ जैन,1924,Shantinath Charitra,Kashinath Jain
नवपदार्थ ज्ञान सार,------------,1937,Navpadarth Gyan Saar,------------
जैन लेख संग्रह का-1,पूरनचंद नाहर,1918,Jain Lekh Sangrah ka-1,Puranchand Nahar
जैन लेख संग्रह का-2,पूरनचंद नाहर,1927,Jain Lekh Sangrah ka-2,Puranchand Nahar
जैन लेख संग्रह जैसलमेर,परनचंद नाहर,1929,Jain Lekh Sangrah Jaisalmer,Paranchand Nahar
